boreholeNo,depth,nValue,rqd
BH-004,28.5,10,36
BH-004,30.0,8,63
BH-004,31.5,50,62
BH-004,33.0,1,14
BH-004,34.5,4,89
BH-004,36.0,21,69
BH-004,37.5,15,86
BH-004,39.0,25,76
BH-004,40.5,30,51
BH-004,42.0,25,45
BH-004,43.5,3,99
BH-004,45.0,29,10
BH-004,46.5,24,3
BH-004,48.0,39,41
BH-004,49.5,22,55
BH-004,51.0,17,44
BH-004,52.5,50,58
BH-004,54.0,46,52
BH-004,55.5,37,17
BH-005,1.5,21,10
BH-005,3.0,46,84
BH-005,4.5,9,26
BH-005,6.0,42,87
BH-005,7.5,7,80
BH-005,9.0,11,92
BH-005,10.5,15,63
BH-005,12.0,36,34
BH-005,13.5,39,47
BH-005,15.0,45,42
BH-005,16.5,8,37
BH-005,18.0,13,55
BH-005,19.5,12,61
BH-005,21.0,45,10
BH-005,22.5,19,11
BH-005,24.0,35,87
BH-005,25.5,25,16
BH-005,27.0,46,18
BH-005,28.5,43,39
BH-005,30.0,25,87
BH-005,31.5,21,99
BH-005,33.0,5,80
BH-005,34.5,36,71
BH-005,36.0,6,30
BH-005,37.5,1,10
BH-005,39.0,31,90
BH-005,40.5,44,74
BH-005,42.0,11,45
BH-005,43.5,16,89
BH-005,45.0,23,95
BH-005,46.5,8,9
BH-005,48.0,32,36
BH-005,49.5,10,12
BH-006,1.5,15,93
BH-006,3.0,8,19
BH-006,4.5,32,35
BH-006,6.0,31,3
BH-006,7.5,45,49
BH-006,9.0,37,12
BH-006,10.5,21,6
BH-006,12.0,8,19
BH-006,13.5,27,92
BH-006,15.0,33,39
BH-006,16.5,24,35
BH-006,18.0,35,34
BH-006,19.5,44,26
BH-006,21.0,29,76
BH-006,22.5,36,55
BH-006,24.0,26,54
BH-006,25.5,14,57
BH-006,27.0,9,86
BH-006,28.5,14,94
BH-006,30.0,16,70
BH-006,31.5,42,97
BH-006,33.0,23,79
BH-006,34.5,1,37
BH-006,36.0,15,64
BH-006,37.5,13,62
BH-006,39.0,39,75
BH-006,40.5,20,23
BH-007,1.5,41,85
BH-007,3.0,43,90
BH-007,4.5,33,41
BH-007,6.0,18,92
BH-007,7.5,15,96
BH-007,9.0,27,43
BH-007,10.5,4,11
BH-007,12.0,8,37
BH-007,13.5,21,99
BH-007,15.0,22,16
BH-007,16.5,22,41
BH-007,18.0,20,96
BH-007,19.5,31,83
BH-007,21.0,50,59
BH-007,22.5,33,31
BH-007,24.0,20,71
BH-007,25.5,22,21
BH-007,27.0,41,62
BH-007,28.5,5,84
BH-007,30.0,44,49
BH-007,31.5,41,38
BH-007,33.0,11,82
BH-007,34.5,38,3
BH-007,36.0,23,41
BH-007,37.5,41,48
BH-007,39.0,10,83
BH-007,40.5,10,46
BH-007,42.0,17,85
BH-007,43.5,17,83
BH-007,45.0,45,83
BH-007,46.5,25,18
BH-007,48.0,25,55
BH-007,49.5,28,7
BH-007,51.0,34,81
BH-007,52.5,48,75
BH-007,54.0,10,61
BH-007,55.5,19,17
BH-008,1.5,35,46
BH-008,3.0,2,34
BH-008,4.5,29,35
BH-008,6.0,30,0
BH-008,7.5,29,6
BH-008,9.0,20,49
BH-008,10.5,34,43
BH-008,12.0,10,90
BH-008,13.5,29,52
BH-008,15.0,7,14
BH-008,16.5,18,72
BH-008,18.0,31,75
BH-008,19.5,17,73
BH-008,21.0,27,1
BH-008,22.5,50,25
BH-008,24.0,14,36
BH-008,25.5,13,7
BH-008,27.0,25,3
BH-008,28.5,35,17
BH-008,30.0,6,69
BH-008,31.5,2,95
BH-009,1.5,9,59
BH-009,3.0,16,51
BH-009,4.5,34,79
BH-009,6.0,35,45
BH-009,7.5,22,74
BH-009,9.0,26,53
BH-009,10.5,9,41
BH-009,12.0,42,3
BH-009,13.5,43,66
BH-009,15.0,13,22
BH-009,16.5,9,37
BH-009,18.0,7,49
BH-009,19.5,31,84
BH-009,21.0,47,83
BH-009,22.5,23,55
BH-009,24.0,19,37
BH-009,25.5,3,38
BH-009,27.0,36,55
BH-009,28.5,17,45
BH-009,30.0,10,96
BH-009,31.5,35,51
BH-009,33.0,13,34
BH-009,34.5,46,93
BH-009,36.0,12,64
BH-009,37.5,24,87
BH-009,39.0,43,75
BH-010,1.5,39,38
BH-010,3.0,18,0
BH-010,4.5,14,26
BH-010,6.0,36,49
BH-010,7.5,25,58
BH-010,9.0,47,90
BH-010,10.5,38,92
BH-010,12.0,4,49
BH-010,13.5,37,78
BH-010,15.0,14,89
BH-010,16.5,2,37
BH-010,18.0,44,65
BH-010,19.5,30,56
BH-010,21.0,1,34
BH-010,22.5,42,41
BH-010,24.0,33,1
BH-010,25.5,13,34
BH-010,27.0,40,29
BH-010,28.5,35,35
BH-010,30.0,15,75
BH-010,31.5,6,98
BH-010,33.0,31,54
BH-011,1.5,21,67
BH-011,3.0,34,11
BH-011,4.5,42,46
BH-011,6.0,8,30
BH-011,7.5,45,14
BH-011,9.0,37,84
BH-011,10.5,9,11
BH-011,12.0,33,28
BH-011,13.5,26,51
BH-011,15.0,14,64
BH-011,16.5,43,32
BH-011,18.0,47,65
BH-011,19.5,44,17
BH-011,21.0,13,85
BH-011,22.5,47,29
BH-011,24.0,42,58
BH-011,25.5,35,97
BH-011,27.0,23,52
BH-011,28.5,43,37
BH-011,30.0,50,65
BH-011,31.5,4,18
BH-011,33.0,36,28
BH-011,34.5,1,5
BH-011,36.0,38,58
BH-011,37.5,32,87
BH-011,39.0,23,61
BH-011,40.5,16,67
BH-011,42.0,39,45
BH-011,43.5,31,64
BH-011,45.0,26,14
BH-012,1.5,50,94
BH-012,3.0,49,39
BH-012,4.5,3,43
BH-012,6.0,37,95
BH-012,7.5,10,57
BH-012,9.0,40,52
BH-012,10.5,48,89
BH-012,12.0,15,69
BH-012,13.5,8,84
BH-012,15.0,33,65
BH-012,16.5,12,60
BH-012,18.0,23,58
BH-012,19.5,49,61
BH-012,21.0,28,19
BH-012,22.5,40,48
BH-012,24.0,2,85
BH-012,25.5,13,75
BH-012,27.0,47,89
BH-012,28.5,35,41
BH-012,30.0,17,30
BH-012,31.5,45,88
BH-012,33.0,32,99
BH-012,34.5,3,35
BH-012,36.0,19,23
BH-012,37.5,21,55
BH-013,1.5,34,77
BH-013,3.0,30,14
BH-013,4.5,19,71
BH-013,6.0,14,78
BH-013,7.5,19,45
BH-013,9.0,1,0
BH-013,10.5,23,30
BH-013,12.0,13,94
BH-013,13.5,48,50
BH-013,15.0,32,98
BH-013,16.5,13,94
BH-013,18.0,40,51
BH-013,19.5,8,18
BH-013,21.0,7,95
BH-013,22.5,23,34
BH-013,24.0,34,4
BH-013,25.5,20,66
BH-013,27.0,41,39
BH-013,28.5,4,10
BH-013,30.0,7,38
BH-013,31.5,42,13
BH-013,33.0,36,96
BH-013,34.5,48,63
BH-013,36.0,34,48
BH-014,1.5,32,36
BH-014,3.0,23,53
BH-014,4.5,43,38
BH-014,6.0,16,73
BH-014,7.5,11,40
BH-014,9.0,21,26
BH-014,10.5,47,5
BH-014,12.0,7,6
BH-014,13.5,18,66
BH-014,15.0,13,53
BH-014,16.5,12,54
BH-014,18.0,29,17
BH-014,19.5,27,10
BH-014,21.0,45,1
BH-014,22.5,7,21
BH-014,24.0,20,60
BH-014,25.5,46,75
BH-014,27.0,41,73
BH-014,28.5,26,38
BH-014,30.0,45,42
BH-015,1.5,8,69
BH-015,3.0,5,15
BH-015,4.5,49,84
BH-015,6.0,20,66
BH-015,7.5,6,69
BH-015,9.0,33,81
BH-015,10.5,31,75
BH-015,12.0,33,77
BH-015,13.5,37,26
BH-015,15.0,3,3
BH-015,16.5,9,18
BH-015,18.0,10,23
BH-015,19.5,49,0
BH-015,21.0,20,28
BH-015,22.5,37,2
BH-015,24.0,32,51
BH-015,25.5,1,58
BH-015,27.0,34,78
BH-015,28.5,9,73
BH-015,30.0,38,23
BH-015,31.5,36,74
BH-015,33.0,47,44
BH-015,34.5,28,87
BH-015,36.0,3,10
BH-015,37.5,49,22
BH-015,39.0,26,53
BH-015,40.5,16,10
BH-015,42.0,41,24
BH-015,43.5,9,81
BH-015,45.0,14,72
BH-015,46.5,42,71
BH-015,48.0,25,83
BH-016,1.5,36,54
BH-016,3.0,1,64
BH-016,4.5,49,61
BH-016,6.0,21,20
BH-016,7.5,40,36
BH-016,9.0,28,77
BH-016,10.5,19,47
BH-016,12.0,10,88
BH-016,13.5,39,98
BH-016,15.0,47,42
BH-016,16.5,50,82
BH-016,18.0,13,89
BH-016,19.5,2,12
BH-016,21.0,46,3
BH-016,22.5,10,44
BH-016,24.0,42,25
BH-016,25.5,34,50
BH-016,27.0,50,40
BH-016,28.5,25,92
BH-016,30.0,38,75
BH-016,31.5,20,33
BH-016,33.0,17,23
BH-016,34.5,33,70
BH-016,36.0,41,60
BH-016,37.5,3,60
BH-016,39.0,2,5
BH-016,40.5,17,76
BH-016,42.0,11,74
BH-016,43.5,43,24
BH-016,45.0,7,96
BH-016,46.5,34,59
BH-016,48.0,8,28
BH-016,49.5,39,24
BH-016,51.0,50,35
BH-016,52.5,1,39
BH-017,1.5,11,45
BH-017,3.0,44,25
BH-017,4.5,27,81
BH-017,6.0,27,56
BH-017,7.5,16,40
BH-017,9.0,35,21
BH-017,10.5,17,100
BH-017,12.0,9,74
BH-017,13.5,20,66
BH-017,15.0,40,8
BH-017,16.5,13,63
BH-017,18.0,10,18
BH-017,19.5,7,97
BH-017,21.0,16,74
BH-017,22.5,28,23
BH-017,24.0,30,97
BH-017,25.5,26,48
BH-017,27.0,4,54
BH-017,28.5,50,52
BH-017,30.0,50,64
BH-017,31.5,5,62
BH-017,33.0,38,47
BH-017,34.5,1,49
BH-017,36.0,35,25
BH-017,37.5,34,42
BH-017,39.0,28,67
BH-017,40.5,47,63
BH-017,42.0,40,93
BH-017,43.5,48,15
BH-017,45.0,36,45
BH-017,46.5,16,24
BH-018,1.5,39,38
BH-018,3.0,27,0
BH-018,4.5,43,91
BH-018,6.0,49,2
BH-018,7.5,31,32
BH-018,9.0,48,50
BH-018,10.5,32,29
BH-018,12.0,45,18
BH-018,13.5,32,52
BH-018,15.0,20,51
BH-018,16.5,44,88
BH-018,18.0,33,12
BH-018,19.5,16,29
BH-018,21.0,16,28
BH-018,22.5,30,95
BH-018,24.0,29,53
BH-018,25.5,22,87
BH-018,27.0,17,86
BH-018,28.5,43,42
BH-018,30.0,6,30
BH-018,31.5,42,16
BH-018,33.0,40,90
BH-018,34.5,43,90
BH-018,36.0,37,42
BH-018,37.5,47,90
BH-018,39.0,34,46
BH-019,1.5,42,85
BH-019,3.0,30,22
BH-019,4.5,46,88
BH-019,6.0,35,51
BH-019,7.5,45,19
BH-019,9.0,37,79
BH-019,10.5,4,71
BH-019,12.0,29,96
BH-019,13.5,12,93
BH-019,15.0,11,52
BH-019,16.5,3,38
BH-019,18.0,41,25
BH-019,19.5,14,10
BH-019,21.0,7,84
BH-019,22.5,34,41
BH-019,24.0,38,57
BH-019,25.5,10,36
BH-019,27.0,36,38
BH-019,28.5,32,42
BH-019,30.0,24,4
BH-019,31.5,9,46
BH-019,33.0,14,65
BH-019,34.5,10,93
BH-019,36.0,16,97
BH-019,37.5,29,51
BH-019,39.0,50,17
BH-019,40.5,27,48
BH-019,42.0,22,13
BH-019,43.5,7,47
BH-019,45.0,23,51
BH-019,46.5,38,87
BH-020,1.5,22,73
BH-020,3.0,23,70
BH-020,4.5,45,18
BH-020,6.0,31,17
BH-020,7.5,29,35
BH-020,9.0,17,62
BH-020,10.5,26,52
BH-020,12.0,29,5
BH-020,13.5,42,57
BH-020,15.0,45,92
BH-020,16.5,43,43
BH-020,18.0,44,22
BH-020,19.5,36,6
BH-020,21.0,14,76
BH-020,22.5,9,55
BH-020,24.0,38,55
BH-020,25.5,50,6
BH-020,27.0,31,96
BH-020,28.5,9,57
BH-020,30.0,43,14
BH-020,31.5,23,48
BH-020,33.0,32,57
BH-020,34.5,25,32
BH-020,36.0,24,42
BH-020,37.5,41,98
BH-020,39.0,32,86
BH-020,40.5,39,16
BH-020,42.0,49,65
BH-020,43.5,26,83
BH-020,45.0,50,7
BH-020,46.5,33,41
BH-020,48.0,14,60
BH-020,49.5,16,33
BH-020,51.0,7,72
BH-020,52.5,15,99
BH-020,54.0,8,69
BH-020,55.5,39,7
BH-020,57.0,38,34
BH-021,1.5,36,76
BH-021,3.0,17,22
BH-021,4.5,28,87
BH-021,6.0,29,23
BH-021,7.5,20,81
BH-021,9.0,2,59
BH-021,10.5,24,12
BH-021,12.0,45,73
BH-021,13.5,15,46
BH-021,15.0,29,7
BH-021,16.5,44,18
BH-021,18.0,49,97
BH-021,19.5,41,6
BH-021,21.0,27,76
BH-021,22.5,28,77
BH-021,24.0,12,54
BH-021,25.5,44,42
BH-021,27.0,48,4
BH-021,28.5,37,80
BH-021,30.0,8,9
BH-021,31.5,50,42
BH-021,33.0,5,95
BH-021,34.5,36,88
BH-021,36.0,19,96
BH-021,37.5,6,28
BH-021,39.0,34,67
BH-021,40.5,25,28
BH-021,42.0,25,69
BH-021,43.5,29,4
BH-021,45.0,8,96
BH-022,1.5,39,40
BH-022,3.0,50,62
BH-022,4.5,34,29
BH-022,6.0,19,89
BH-022,7.5,50,18
BH-022,9.0,6,95
BH-022,10.5,36,25
BH-022,12.0,28,88
BH-022,13.5,21,84
BH-022,15.0,7,40
BH-022,16.5,38,1
BH-022,18.0,48,9
BH-022,19.5,19,59
BH-022,21.0,3,37
BH-022,22.5,46,95
BH-022,24.0,50,49
BH-022,25.5,28,36
BH-022,27.0,19,22
BH-022,28.5,20,24
BH-022,30.0,14,6
BH-022,31.5,9,48
BH-022,33.0,11,54
BH-022,34.5,5,82
BH-022,36.0,21,11
BH-022,37.5,47,89
BH-022,39.0,5,64
BH-022,40.5,17,64
BH-023,1.5,34,71
BH-023,3.0,44,79
BH-023,4.5,34,28
BH-023,6.0,26,93
BH-023,7.5,48,47
BH-023,9.0,23,17
BH-023,10.5,47,46
BH-023,12.0,37,35
BH-023,13.5,22,34
BH-023,15.0,28,72
BH-023,16.5,35,23
BH-023,18.0,8,84
BH-023,19.5,24,0
BH-023,21.0,49,81
BH-023,22.5,18,42
BH-023,24.0,26,70
BH-023,25.5,36,66
BH-023,27.0,16,67
BH-023,28.5,29,82
BH-023,30.0,36,52
BH-023,31.5,40,18
BH-024,1.5,46,81
BH-024,3.0,22,62
BH-024,4.5,21,25
BH-024,6.0,19,9
BH-024,7.5,18,9
BH-024,9.0,28,10
BH-024,10.5,35,83
BH-024,12.0,10,34
BH-024,13.5,42,83
BH-024,15.0,30,5
BH-024,16.5,1,9
BH-024,18.0,47,28
BH-024,19.5,5,44
BH-024,21.0,8,52
BH-024,22.5,23,15
BH-024,24.0,26,5
BH-024,25.5,7,59
BH-024,27.0,12,45
BH-024,28.5,25,14
BH-024,30.0,23,70
BH-024,31.5,3,45
BH-024,33.0,40,26
BH-024,34.5,35,99
BH-024,36.0,12,21
BH-024,37.5,24,24
BH-024,39.0,46,32
BH-024,40.5,50,88
BH-024,42.0,30,38
BH-024,43.5,20,19
BH-024,45.0,16,68
BH-024,46.5,36,72
BH-024,48.0,30,62
BH-024,49.5,8,27
BH-024,51.0,36,21
BH-024,52.5,14,70
BH-024,54.0,15,36
BH-024,55.5,2,70
BH-025,1.5,28,69
BH-025,3.0,8,74
BH-025,4.5,24,68
BH-025,6.0,8,13
BH-025,7.5,36,60
BH-025,9.0,11,21
BH-025,10.5,35,15
BH-025,12.0,1,25
BH-025,13.5,39,26
BH-025,15.0,20,10
BH-025,16.5,49,1
BH-025,18.0,20,58
BH-025,19.5,14,65
BH-025,21.0,27,55
BH-025,22.5,48,84
BH-025,24.0,47,37
BH-025,25.5,46,12
BH-025,27.0,43,77
BH-025,28.5,36,34
BH-025,30.0,41,90
BH-025,31.5,37,1
BH-025,33.0,1,3
BH-025,34.5,9,85
BH-025,36.0,45,92
BH-025,37.5,9,59
BH-025,39.0,4,88
BH-025,40.5,22,58
BH-025,42.0,26,86
BH-025,43.5,23,5
BH-025,45.0,46,82
BH-025,46.5,26,94
BH-025,48.0,45,90
BH-025,49.5,45,58
BH-026,1.5,13,31
BH-026,3.0,35,73
BH-026,4.5,12,53
BH-026,6.0,32,27
BH-026,7.5,9,91
BH-026,9.0,32,88
BH-026,10.5,5,57
BH-026,12.0,49,59
BH-026,13.5,42,40
BH-026,15.0,43,74
BH-026,16.5,50,56
BH-026,18.0,47,69
BH-026,19.5,38,89
BH-026,21.0,37,38
BH-026,22.5,18,84
BH-026,24.0,22,54
BH-026,25.5,50,67
BH-026,27.0,14,89
BH-026,28.5,13,3
BH-026,30.0,7,33
BH-026,31.5,42,99
BH-026,33.0,7,45
BH-026,34.5,17,98
BH-026,36.0,21,67
BH-026,37.5,35,64
BH-026,39.0,28,5
BH-026,40.5,16,79
BH-026,42.0,49,47
BH-026,43.5,8,14
BH-026,45.0,15,73
BH-026,46.5,19,85
BH-026,48.0,1,19
BH-027,1.5,36,39
BH-027,3.0,40,85
BH-027,4.5,11,63
BH-027,6.0,16,9
BH-027,7.5,14,36
BH-027,9.0,19,82
BH-027,10.5,23,24
BH-027,12.0,11,61
BH-027,13.5,45,29
BH-027,15.0,8,73
BH-027,16.5,47,37
BH-027,18.0,33,20
BH-027,19.5,9,28
BH-027,21.0,33,23
BH-027,22.5,4,46
BH-027,24.0,14,99
BH-027,25.5,42,13
BH-027,27.0,50,85
BH-027,28.5,42,83
BH-027,30.0,23,36
BH-027,31.5,42,1
BH-027,33.0,9,55
BH-027,34.5,30,80
BH-027,36.0,48,57
BH-028,1.5,21,31
BH-028,3.0,23,89
BH-028,4.5,3,9
BH-028,6.0,46,62
BH-028,7.5,14,66
BH-028,9.0,47,30
BH-028,10.5,21,9
BH-028,12.0,13,43
BH-028,13.5,37,91
BH-028,15.0,8,82
BH-028,16.5,35,43
BH-028,18.0,49,7
BH-028,19.5,9,91
BH-028,21.0,34,41
BH-028,22.5,37,50
BH-028,24.0,13,91
BH-028,25.5,1,34
BH-028,27.0,8,47
BH-028,28.5,14,34
BH-028,30.0,24,27
BH-028,31.5,23,49
BH-028,33.0,3,59
BH-028,34.5,40,57
BH-028,36.0,38,12
BH-028,37.5,17,66
BH-028,39.0,45,37
BH-028,40.5,43,63
BH-028,42.0,41,70
BH-028,43.5,35,62
BH-028,45.0,33,53
BH-028,46.5,3,69
BH-028,48.0,18,81
BH-028,49.5,48,45
BH-028,51.0,14,13
BH-029,1.5,25,13
BH-029,3.0,47,76
BH-029,4.5,29,72
BH-029,6.0,43,88
BH-029,7.5,50,11
BH-029,9.0,19,92
BH-029,10.5,14,36
BH-029,12.0,5,99
BH-029,13.5,29,89
BH-029,15.0,36,76
BH-029,16.5,40,96
BH-029,18.0,6,95
BH-029,19.5,40,67
BH-029,21.0,23,17
BH-029,22.5,27,80
BH-029,24.0,35,33
BH-029,25.5,28,75
BH-029,27.0,1,39
BH-029,28.5,27,19
BH-029,30.0,18,85
BH-029,31.5,22,30
BH-029,33.0,47,51
BH-029,34.5,19,100
BH-029,36.0,9,37
BH-029,37.5,35,67
BH-029,39.0,49,41
BH-029,40.5,24,93
BH-029,42.0,19,74
BH-029,43.5,7,45
BH-029,45.0,17,32
BH-029,46.5,36,91
BH-029,48.0,6,79
BH-029,49.5,50,76
BH-029,51.0,9,36
BH-029,52.5,33,67
BH-029,54.0,33,48
BH-030,1.5,20,1
BH-030,3.0,50,27
BH-030,4.5,33,56
BH-030,6.0,33,70
BH-030,7.5,50,79
BH-030,9.0,5,4
BH-030,10.5,22,30
BH-030,12.0,23,54
BH-030,13.5,17,6
BH-030,15.0,2,40
BH-030,16.5,41,97
BH-030,18.0,20,93
BH-030,19.5,20,4
BH-030,21.0,48,38
BH-030,22.5,1,19
BH-030,24.0,46,79
BH-030,25.5,40,3
BH-030,27.0,17,54
BH-030,28.5,15,76
BH-030,30.0,44,97
BH-030,31.5,6,91
BH-030,33.0,26,95
BH-030,34.5,44,42
BH-030,36.0,14,86
BH-030,37.5,27,38
BH-030,39.0,25,5
BH-030,40.5,35,23
BH-030,42.0,36,86
BH-030,43.5,10,11
BH-030,45.0,47,89
BH-030,46.5,41,11
BH-030,48.0,6,41
BH-030,49.5,44,86
BH-030,51.0,37,45
BH-031,1.5,23,57
BH-031,3.0,37,38
BH-031,4.5,6,16
BH-031,6.0,50,29
BH-031,7.5,23,25
BH-031,9.0,38,88
BH-031,10.5,46,85
BH-031,12.0,40,7
BH-031,13.5,22,45
BH-031,15.0,30,20
BH-031,16.5,3,73
BH-031,18.0,3,39
BH-031,19.5,39,77
BH-031,21.0,49,0
BH-031,22.5,45,25
BH-031,24.0,43,99
BH-031,25.5,34,96
BH-031,27.0,38,38
BH-031,28.5,17,65
BH-031,30.0,17,53
BH-031,31.5,10,0
BH-031,33.0,2,57
BH-031,34.5,47,95
BH-031,36.0,17,40
BH-031,37.5,20,63
BH-031,39.0,44,6
BH-031,40.5,35,28
BH-031,42.0,1,48
BH-031,43.5,20,87
BH-031,45.0,30,99
BH-031,46.5,41,63
BH-031,48.0,37,14
BH-031,49.5,30,98
BH-031,51.0,15,55
BH-031,52.5,50,97
BH-032,1.5,37,86
BH-032,3.0,33,62
BH-032,4.5,40,55
BH-032,6.0,6,100
BH-032,7.5,47,3
BH-032,9.0,50,62
BH-032,10.5,32,15
BH-032,12.0,5,13
BH-032,13.5,28,80
BH-032,15.0,21,25
BH-032,16.5,37,32
BH-032,18.0,23,46
BH-032,19.5,46,63
BH-032,21.0,2,48
BH-032,22.5,38,92
BH-032,24.0,9,94
BH-032,25.5,19,63
BH-032,27.0,26,55
BH-032,28.5,10,8
BH-032,30.0,13,27
BH-032,31.5,31,68
BH-032,33.0,24,24
BH-032,34.5,39,44
BH-033,1.5,35,3
BH-033,3.0,26,96
BH-033,4.5,39,54
BH-033,6.0,38,98
BH-033,7.5,18,19
BH-033,9.0,44,90
BH-033,10.5,37,32
BH-033,12.0,32,64
BH-033,13.5,43,75
BH-033,15.0,20,84
BH-033,16.5,37,20
BH-033,18.0,33,56
BH-033,19.5,44,41
BH-033,21.0,41,88
BH-033,22.5,45,87
BH-033,24.0,36,93
BH-033,25.5,31,21
BH-033,27.0,28,46
BH-033,28.5,3,62
BH-033,30.0,9,68
BH-033,31.5,23,25
BH-033,33.0,43,1
BH-033,34.5,40,7
BH-033,36.0,13,2
BH-033,37.5,30,5
BH-033,39.0,49,75
BH-033,40.5,8,58
BH-033,42.0,17,81
BH-033,43.5,23,13
BH-033,45.0,32,37
BH-033,46.5,22,45
BH-033,48.0,10,85
BH-034,1.5,16,23
BH-034,3.0,38,19
BH-034,4.5,38,93
BH-034,6.0,6,43
BH-034,7.5,26,41
BH-034,9.0,39,63
BH-034,10.5,6,24
BH-034,12.0,23,63
BH-034,13.5,34,89
BH-034,15.0,14,24
BH-034,16.5,13,72
BH-034,18.0,34,55
BH-034,19.5,5,31
BH-034,21.0,32,64
BH-034,22.5,8,98
BH-034,24.0,11,57
BH-034,25.5,3,91
BH-034,27.0,37,49
BH-034,28.5,42,60
BH-034,30.0,32,79
BH-034,31.5,30,49
BH-034,33.0,40,39
BH-034,34.5,23,13
BH-034,36.0,12,3
BH-034,37.5,46,70
BH-034,39.0,38,10
BH-034,40.5,20,36
BH-034,42.0,11,96
BH-034,43.5,11,59
BH-034,45.0,13,10
BH-034,46.5,33,88
BH-034,48.0,14,50
BH-034,49.5,31,28
BH-035,1.5,35,2
BH-035,3.0,46,87
BH-035,4.5,18,96
BH-035,6.0,37,0
BH-035,7.5,29,19
BH-035,9.0,19,72
BH-035,10.5,28,99
BH-035,12.0,10,22
BH-035,13.5,1,14
BH-035,15.0,27,98
BH-035,16.5,32,12
BH-035,18.0,46,47
BH-035,19.5,2,40
BH-035,21.0,26,17
BH-035,22.5,34,59
BH-035,24.0,13,82
BH-035,25.5,5,68
BH-035,27.0,1,97
BH-035,28.5,14,71
BH-035,30.0,25,91
BH-035,31.5,31,92
BH-035,33.0,32,18
BH-035,34.5,20,86
BH-035,36.0,17,38
BH-035,37.5,12,65
BH-036,1.5,20,43
BH-036,3.0,43,59
BH-036,4.5,19,100
BH-036,6.0,14,51
BH-036,7.5,7,46
BH-036,9.0,10,74
BH-036,10.5,4,23
BH-036,12.0,16,14
BH-036,13.5,1,39
BH-036,15.0,24,34
BH-036,16.5,33,18
BH-036,18.0,27,30
BH-036,19.5,39,89
BH-036,21.0,8,65
BH-036,22.5,35,2
BH-036,24.0,21,35
BH-036,25.5,43,71
BH-036,27.0,16,88
BH-036,28.5,19,52
BH-036,30.0,22,68
BH-036,31.5,22,39
BH-036,33.0,44,92
BH-036,34.5,24,16
BH-036,36.0,41,60
BH-036,37.5,36,48
BH-036,39.0,12,97
BH-036,40.5,42,84
BH-036,42.0,37,57
BH-037,1.5,17,35
BH-037,3.0,4,52
BH-037,4.5,5,4
BH-037,6.0,2,32
BH-037,7.5,50,92
BH-037,9.0,28,79
BH-037,10.5,38,11
BH-037,12.0,18,84
BH-037,13.5,48,60
BH-037,15.0,30,23
BH-037,16.5,6,72
BH-037,18.0,38,27
BH-037,19.5,21,80
BH-037,21.0,47,92
BH-037,22.5,39,59
BH-037,24.0,3,63
