x,y,z,strike,dip,dipDirection,description
224755.06,2429597.93,14.31,172.4,54.0,W,斷層-61
224592.91,2429580.70,10.95,338.8,46.9,E,葉理-62
224390.79,2429881.06,134.81,41.3,12.0,SE,層面-63
224200.65,2429242.68,127.51,91.4,62.5,S,層面-64
224134.44,2429910.32,16.32,314.8,84.3,NE,葉理-65
224978.73,2429947.97,110.33,280.5,25.2,N,劈理-66
224474.77,2429291.19,-8.86,71.6,59.7,S,斷層-67
224305.05,2429979.89,52.74,277.0,56.5,N,斷層-68
224518.39,2429399.72,-39.43,272.3,33.3,N,斷層-69
224088.67,2429083.43,86.90,44.2,78.0,SE,劈理-70
224011.11,2429004.59,66.88,110.3,81.2,S,節理面-71
224464.76,2429387.78,-42.38,103.7,50.4,S,劈理-72
224486.34,2429140.81,-46.30,225.4,36.3,NW,層面-73
224180.32,2429920.16,42.15,274.6,81.3,N,層面-74
224686.17,2429782.63,32.36,176.4,43.3,W,層面-75
224083.64,2429027.59,67.07,257.5,34.5,N,劈理-76
224787.93,2429960.95,104.64,197.8,57.5,W,斷層-77
224022.52,2429759.03,102.29,330.7,31.5,NE,節理面-78
224489.65,2429339.67,73.26,194.3,73.2,W,節理面-79
224294.30,2429345.74,69.01,201.0,41.7,W,葉理-80
224822.59,2429585.83,42.86,235.1,31.6,NW,劈理-81
224759.07,2429110.70,-30.24,334.2,49.8,NE,節理面-82
224918.16,2429010.36,108.99,132.4,24.9,SW,節理面-83
224507.63,2429764.43,-24.34,58.1,32.2,SE,葉理-84
224888.01,2429387.27,18.93,344.7,78.7,E,斷層-85
224013.54,2429924.36,20.48,281.7,34.0,N,節理面-86
224916.53,2429244.81,84.85,67.0,36.5,SE,層面-87
224122.55,2429150.67,92.32,321.1,59.4,NE,層面-88
224038.97,2429436.95,40.21,85.3,77.2,S,斷層-89
224283.45,2429270.08,93.46,239.8,45.7,NW,葉理-90
224712.15,2429761.10,-3.20,110.0,27.3,S,節理面-91
224891.02,2429874.13,110.91,52.5,77.2,SE,節理面-92
224139.53,2429555.57,33.26,355.8,39.2,E,斷層-93
224496.84,2429833.86,134.28,204.0,33.0,NW,葉理-94
224824.22,2429284.88,19.80,337.8,59.8,E,節理面-95
224987.94,2429935.71,7.88,0.7,57.7,E,斷層-96
224109.90,2429979.93,1.50,235.3,57.1,NW,節理面-97
224111.05,2429676.86,103.00,17.8,53.2,E,劈理-98
224979.72,2429805.94,-7.62,34.3,68.6,SE,斷層-99
224906.98,2429211.72,-14.72,323.6,35.7,NE,劈理-100
